,city,county,lng,lat,leads,renews,rate,level,eb_estimate,new_eb,score
55,苏州市,虎丘区,120.429,31.3313,624,103,0.1660641025641025,2,0.1609738456039236,0.1594523198324104,180
56,福州市,鼓楼区,119.299,26.0851,579,101,0.1763022452504317,3,0.1695380239298764,0.164917974082118,180
57,成都市,武侯区,104.041,30.6439,548,90,0.1652335766423357,2,0.1596561244189889,0.1580762337837428,180
58,苏州市,相城区,120.638,31.3717,543,91,0.1695082872928177,2,0.1627765289391787,0.1608927385274587,180
59,武汉市,武昌区,114.311,30.5567,524,90,0.1727557251908397,2,0.166531713368511,0.1642283084877633,180
60,广州市,南沙区,113.52,22.8044,494,80,0.1639554655870445,1,0.1570417181882777,0.1618218514380401,180
61,杭州市,西湖区,120.126,30.2617,490,83,0.1714081632653061,2,0.1639749988408136,0.1617977289552039,180
62,重庆市,大渡口区,106.478,29.4864,442,74,0.168420814479638,2,0.1615992224270321,0.1594903283722353,180
63,杭州市,拱墅区,120.137,30.3213,436,74,0.1707247706422018,2,0.1636652803098994,0.1613004050380737,180
64,无锡市,梁溪区,120.297,31.5674,340,61,0.1818823529411764,3,0.1709299111841992,0.1635668342506512,180
65,重庆市,合川区,106.272,29.9747,299,50,0.1682240802675585,2,0.1589169518825258,0.1564447330031548,180
66,南京市,鼓楼区,118.765,32.0689,297,52,0.1760841750841751,2,0.1659343694597325,0.1623801676244845,180
67,衢州市,柯城区,118.869,28.9406,273,51,0.1878131868131868,5,0.175671396556602,0.1567276138246335,180
68,东莞市,莞城街道,113.753,23.0425,118,23,0.1959152542372881,2,0.170575908000178,0.1626936839822084,180
69,北京市,昌平区,116.225,40.2196,2599,398,0.154135821469796,1,0.1522653515881184,0.1534125900219013,170
70,北京市,通州区,116.723,39.9152,2300,350,0.153391304347826,1,0.1512056238365054,0.1525225252465275,170
71,广州市,白云区,113.268,23.1606,2246,338,0.1514897595725734,1,0.1495231332045125,0.1509131592964608,170
72,南宁市,青秀区,108.656,22.8093,1365,215,0.1588754578754578,3,0.1557663552352152,0.1541984862190554,170
